[INFO] [2024-02-19 10:03:12,651] Exp time: 2024-02-19_10h03m
[INFO] [2024-02-19 10:03:12,651] 	path: {'DB_ROOT': '../data/kaist-rgbt', 'JSON_GT_FILE': 'kaist_annotations_test20.json'}
[INFO] [2024-02-19 10:03:12,652] 	train: {'day': 'all', 'img_set': 'train-all-02.txt', 'checkpoint': None, 'batch_size': 8, 'start_epoch': 0, 'epochs': 40, 'lr': 0.0001, 'momentum': 0.9, 'weight_decay': 0.0005, 'print_freq': 100, 'img_transform': Compose(
    ColorJitter(brightness=[0.7, 1.3], contrast=[0.7, 1.3], saturation=[0.7, 1.3], hue=None)
    ColorJitterLWIR(brightness=None, contrast=[0.7, 1.3], saturation=None, hue=None)
), 'co_transform': Compose(
    TT_RandomHorizontalShift(p=0.3)
    TT_RandomHorizontalFlip(p=0.5)
    TT_RandomResizedCrop(size=[512, 640], scale=(0.25, 4.0), ratio=(0.8, 1.2), interpolation=PIL.Image.BILINEAR)
    ToTensor()
    Normalize(mean=[0.3465, 0.3219, 0.2842], std=[0.2358, 0.2265, 0.2274])
    Normalize(mean=[0.1598], std=[0.0813])
)}
[INFO] [2024-02-19 10:03:12,652] 	test: {'result_path': './result', 'day': 'all', 'img_set': 'test-all-20.txt', 'input_size': [512, 640], 'checkpoint': '../pretrained/pretrained.pth.tar', 'batch_size': 1, 'eval_batch_size': 1, 'img_transform': Compose(
), 'co_transform': Compose(
    Resize(size=[512, 640], interpolation=PIL.Image.BILINEAR)
    ToTensor()
    Normalize(mean=[0.3465, 0.3219, 0.2842], std=[0.2358, 0.2265, 0.2274])
    Normalize(mean=[0.1598], std=[0.0813])
)}
[INFO] [2024-02-19 10:03:12,652] 	dataset: {'workers': 8, 'OBJ_LOAD_CONDITIONS': {'train': {'hRng': [12, inf], 'xRng': [5, 635], 'yRng': [5, 507], 'wRng': [-inf, inf]}, 'test': {'hRng': [-inf, inf], 'xRng': [5, 635], 'yRng': [5, 507], 'wRng': [-inf, inf]}}}
[INFO] [2024-02-19 10:03:12,652] 	device: cuda
[INFO] [2024-02-19 10:03:12,652] 	exp_name: INSANet
[INFO] [2024-02-19 10:03:12,652] 	n_classes: 3
[INFO] [2024-02-19 10:03:12,652] 	exps_dir: exps/2024-02-19_10h03m_INSANet
[INFO] [2024-02-19 10:03:12,652] 	augmentation: ['TT_RandomHorizontalShift', 'TT_RandomHorizontalFlip', 'TT_RandomResizedCrop']
[INFO] [2024-02-19 10:03:12,652] Preprocess for training
[INFO] [2024-02-19 10:03:12,652] Compose(
    ColorJitter(brightness=[0.7, 1.3], contrast=[0.7, 1.3], saturation=[0.7, 1.3], hue=None)
    ColorJitterLWIR(brightness=None, contrast=[0.7, 1.3], saturation=None, hue=None)
)
[INFO] [2024-02-19 10:03:12,652] Transforms for training
[INFO] [2024-02-19 10:03:12,652] Compose(
    TT_RandomHorizontalShift(p=0.3)
    TT_RandomHorizontalFlip(p=0.5)
    TT_RandomResizedCrop(size=[512, 640], scale=(0.25, 4.0), ratio=(0.8, 1.2), interpolation=PIL.Image.BILINEAR)
    ToTensor()
    Normalize(mean=[0.3465, 0.3219, 0.2842], std=[0.2358, 0.2265, 0.2274])
    Normalize(mean=[0.1598], std=[0.0813])
)
[INFO] [2024-02-19 10:03:12,652] #################### << Epoch   0 >> ####################
[INFO] [2024-02-19 10:03:19,937] Iteration: [0/3136]	Batch Time: 7.283 (7.283)	Data Time: 1.852 (1.852)	Loss: 17.0946 (17.0946)	Num of Positive: tensor([  0,  23,  14,   0, 265,   0,   0,   8], device='cuda:0')
[INFO] [2024-02-19 10:03:49,524] Iteration: [100/3136]	Batch Time: 0.300 (0.365)	Data Time: 0.000 (0.019)	Loss: 10.3227 (11.3707)	Num of Positive: tensor([ 6,  1, 22,  0, 46, 80,  0,  0], device='cuda:0')
[INFO] [2024-02-19 10:04:19,301] Iteration: [200/3136]	Batch Time: 0.287 (0.332)	Data Time: 0.000 (0.010)	Loss: 9.1611 (10.3370)	Num of Positive: tensor([ 0,  0,  0,  0,  0, 20,  0, 70], device='cuda:0')
[INFO] [2024-02-19 10:04:49,317] Iteration: [300/3136]	Batch Time: 0.302 (0.321)	Data Time: 0.000 (0.006)	Loss: 7.9075 (9.5316)	Num of Positive: tensor([ 0,  0,  0, 56,  0,  0, 37, 84], device='cuda:0')
[INFO] [2024-02-19 10:05:19,252] Iteration: [400/3136]	Batch Time: 0.292 (0.316)	Data Time: 0.000 (0.005)	Loss: 6.6460 (8.9934)	Num of Positive: tensor([ 38,   6,   0,   0, 163,   0,   0,  56], device='cuda:0')
[INFO] [2024-02-19 10:05:49,116] Iteration: [500/3136]	Batch Time: 0.295 (0.312)	Data Time: 0.000 (0.004)	Loss: 6.3528 (8.5972)	Num of Positive: tensor([ 0,  0,  0,  0, 12,  0, 41, 78], device='cuda:0')
[INFO] [2024-02-19 10:06:19,045] Iteration: [600/3136]	Batch Time: 0.294 (0.310)	Data Time: 0.000 (0.003)	Loss: 7.6492 (8.3699)	Num of Positive: tensor([ 0,  0, 17, 62, 11,  0,  0, 64], device='cuda:0')
[INFO] [2024-02-19 10:06:48,885] Iteration: [700/3136]	Batch Time: 0.292 (0.308)	Data Time: 0.000 (0.003)	Loss: 6.6815 (8.1854)	Num of Positive: tensor([191,  25,   6,  10,   0,   0,   0, 239], device='cuda:0')
[INFO] [2024-02-19 10:07:18,654] Iteration: [800/3136]	Batch Time: 0.303 (0.307)	Data Time: 0.000 (0.003)	Loss: 7.8672 (8.0403)	Num of Positive: tensor([87, 37,  0,  0,  0,  0,  0,  0], device='cuda:0')
[INFO] [2024-02-19 10:07:48,493] Iteration: [900/3136]	Batch Time: 0.301 (0.306)	Data Time: 0.000 (0.002)	Loss: 7.2734 (7.9040)	Num of Positive: tensor([ 4,  0, 11, 45,  0,  0, 26, 20], device='cuda:0')
[INFO] [2024-02-19 10:08:18,322] Iteration: [1000/3136]	Batch Time: 0.310 (0.305)	Data Time: 0.000 (0.002)	Loss: 7.7717 (7.8092)	Num of Positive: tensor([ 0,  0, 87,  0,  0,  0,  0, 35], device='cuda:0')
[INFO] [2024-02-19 10:08:48,056] Iteration: [1100/3136]	Batch Time: 0.314 (0.305)	Data Time: 0.000 (0.002)	Loss: 6.1786 (7.7368)	Num of Positive: tensor([  0,  81,   0, 111,   0, 128,   0,   4], device='cuda:0')
[INFO] [2024-02-19 10:09:17,872] Iteration: [1200/3136]	Batch Time: 0.290 (0.304)	Data Time: 0.000 (0.002)	Loss: 8.4663 (7.6792)	Num of Positive: tensor([ 0,  0,  0,  0,  0,  0,  0, 38], device='cuda:0')
[INFO] [2024-02-19 10:09:47,647] Iteration: [1300/3136]	Batch Time: 0.293 (0.304)	Data Time: 0.000 (0.002)	Loss: 8.2471 (7.6129)	Num of Positive: tensor([0, 0, 0, 6, 0, 0, 0, 0], device='cuda:0')
[INFO] [2024-02-19 10:10:17,538] Iteration: [1400/3136]	Batch Time: 0.295 (0.303)	Data Time: 0.000 (0.002)	Loss: 7.5054 (7.5604)	Num of Positive: tensor([ 4,  0,  0, 18,  0,  0,  0,  0], device='cuda:0')
